"bioma","alimentacao","status","populacao","exemplares","idade","tamanho","envergadura"
"412","Pampa","Frugivoro","LC",343.611040109644,68,17,242,267
"413","Cerrado","Onivoro","NT",268.532588332739,79,4,81,258
"414","Mata Atlântica","Hematofago","CE",283.653800292442,54,20,302,245
"415","Cerrado","Frugivoro","EX",301.761429233509,64,11,97,211
"416","Amazônia","Frugivoro","NT",298.534207166562,25,11,349,298
"417","Amazônia","Carnivoro","CE",293.396270703852,79,17,417,256
"418","Cerrado","Hematofago","VU",302.489475917598,44,18,115,201
"419","Pampa","Onivoro","EX",271.846716825203,85,6,491,263
"420","Pampa","Onivoro","CE",272.835093018671,18,6,186,225
"421","Caatinga","Onivoro","NT",287.100267711879,81,15,48,219
"422","Mata Atlântica","Frugivoro","NT",330.06917205929,8,15,349,255
"423","Pantanal","Onivoro","EW",286.662803391243,36,1,357,256
"424","Pampa","Onivoro","LC",297.997733832495,37,6,193,251
"425","Mata Atlântica","Frugivoro","CE",316.202605274736,46,10,184,210
"426","Amazônia","Onivoro","EW",288.537922028327,97,8,363,248
"427","Amazônia","Frugivoro","EX",294.730665342593,83,11,173,294
"428","Cerrado","Hematofago","NT",299.11585548639,55,19,227,287
"429","Caatinga","Frugivoro","VU",309.596784814327,34,4,246,293
"430","Mata Atlântica","Frugivoro","NT",321.011482187506,82,8,113,243
"431","Amazônia","Onivoro","VU",309.963626156854,70,3,17,243
"432","Amazônia","Frugivoro","EX",282.418578519474,44,14,468,279
"433","Cerrado","Onivoro","EN",307.027311713368,7,15,200,201
"434","Pantanal","Frugivoro","VU",281.249085602412,71,14,487,295
"435","Cerrado","Frugivoro","VU",315.764368564575,97,1,426,263
"436","Pampa","Frugivoro","NT",282.091127837787,68,11,7,266
"437","Amazônia","Onivoro","LC",299.940763451681,49,13,196,274
"438","Pantanal","Frugivoro","VU",304.060485882204,9,9,167,218
"439","Cerrado","Carnivoro","EN",310.432037312226,99,19,158,212
"440","Pampa","Hematofago","EX",318.433561640015,22,15,419,252
"441","Cerrado","Onivoro","EX",310.027723241562,59,16,345,210
"442","Caatinga","Frugivoro","NT",236.81575925598,60,10,208,234
"443","Amazônia","Carnivoro","LC",302.749656421996,79,2,396,236
"444","Mata Atlântica","Onivoro","VU",297.18134036908,39,12,413,259
"445","Amazônia","Hematofago","NT",267.718375446577,31,5,96,225
"446","Pantanal","Carnivoro","EX",310.452596621896,81,9,386,268
"447","Pampa","Frugivoro","CE",272.786968669225,20,10,300,214
"448","Pampa","Onivoro","EX",308.066450647657,46,11,92,282
"449","Amazônia","Frugivoro","VU",291.053720663392,49,9,494,248
"450","Pampa","Hematofago","EX",298.904244191064,51,1,188,230
"451","Pampa","Onivoro","VU",294.4330069477,59,4,113,258
"452","Amazônia","Onivoro","EN",348.374911229597,65,4,357,255
"453","Cerrado","Frugivoro","NT",276.768833567371,40,10,302,205
"454","Pantanal","Carnivoro","CE",331.879256851316,100,18,39,251
"455","Pantanal","Hematofago","EW",315.529995315559,82,9,417,287
"456","Mata Atlântica","Onivoro","EN",278.95598977688,65,16,480,279
"457","Pantanal","Hematofago","CE",336.256930088494,11,14,284,221
"458","Pampa","Onivoro","NT",321.893870200848,72,20,46,234
"459","Pampa","Onivoro","EX",308.150066030422,18,10,164,289
"460","Cerrado","Onivoro","VU",314.703445771478,59,18,287,214
"461","Amazônia","Frugivoro","CE",300.008589585713,68,14,393,296
"462","Cerrado","Onivoro","LC",288.555742497177,13,19,305,215
"463","Pampa","Onivoro","EX",320.090322277905,54,1,353,287
"464","Pantanal","Frugivoro","EW",283.372033427747,71,16,455,288
"465","Mata Atlântica","Onivoro","EX",333.692145224583,18,8,16,252
"466","Cerrado","Carnivoro","EN",316.410180742852,71,14,246,288
"467","Cerrado","Onivoro","NT",245.846566592598,8,2,29,248
"468","Mata Atlântica","Frugivoro","CE",269.914213420033,63,7,114,293
"469","Caatinga","Carnivoro","VU",301.0964599906,67,3,180,217
"470","Cerrado","Frugivoro","EW",313.557985435419,80,8,272,247
"471","Cerrado","Frugivoro","NT",300.617127442111,68,8,450,281
"472","Cerrado","Carnivoro","NT",293.850649629271,41,20,396,216
"473","Pampa","Frugivoro","NT",294.865915096185,47,18,265,215
"474","Pantanal","Frugivoro","EW",286.027823819737,94,6,250,213
"475","Mata Atlântica","Carnivoro","EX",306.941274621555,51,6,499,257
"476","Pampa","Onivoro","NT",350.21980789148,10,7,180,300
"477","Caatinga","Carnivoro","NT",275.145725699712,47,1,348,226
"478","Caatinga","Frugivoro","LC",303.062865140918,73,13,357,234
"479","Cerrado","Onivoro","EX",290.04524513386,31,15,439,297
"480","Amazônia","Onivoro","CE",334.71106365705,17,2,70,207
"481","Pampa","Onivoro","CE",323.399894769954,80,20,328,223
"482","Amazônia","Onivoro","VU",293.559880342683,6,11,383,238
"483","Amazônia","Frugivoro","VU",323.715362815525,41,12,498,263
"484","Caatinga","Frugivoro","LC",298.572288497,1,6,57,200
"485","Cerrado","Hematofago","VU",295.141168145241,82,16,437,216
"486","Mata Atlântica","Onivoro","LC",283.461677978442,95,13,55,274
"487","Caatinga","Carnivoro","EX",291.665738310134,18,14,58,276
"488","Pantanal","Onivoro","VU",302.332396461927,7,13,144,212
"489","Mata Atlântica","Hematofago","NT",287.865156816041,69,6,418,243
"490","Cerrado","Carnivoro","LC",317.633369160941,58,9,298,278
"491","Mata Atlântica","Frugivoro","EW",316.949091210555,59,6,183,205
"492","Cerrado","Onivoro","EW",309.100508001058,5,5,460,258
"493","Amazônia","Frugivoro","NT",298.286204027217,38,13,405,227
"494","Cerrado","Onivoro","EN",317.994778079788,50,13,201,263
"495","Amazônia","Onivoro","VU",312.499154746095,24,14,163,281
"496","Pampa","Frugivoro","NT",314.548484261176,73,7,472,215
"497","Pantanal","Onivoro","VU",308.360208832521,36,18,259,226
"498","Pampa","Onivoro","EW",314.81999927002,12,20,305,221
"499","Pantanal","Frugivoro","EW",333.609066104357,2,4,209,205
"500","Pantanal","Onivoro","EW",312.403650476266,36,12,26,249
"501","Pantanal","Hematofago","CE",296.575883477092,49,1,29,212
"502","Pampa","Frugivoro","CE",283.777569342775,24,16,260,275
"503","Mata Atlântica","Frugivoro","EN",290.250776999084,97,16,22,209
"504","Caatinga","Onivoro","NT",315.589554185291,61,10,409,292
"505","Mata Atlântica","Carnivoro","EW",282.930047254217,78,20,28,210
"506","Caatinga","Carnivoro","NT",330.41391160957,14,14,302,284
"507","Caatinga","Onivoro","LC",319.095947526966,94,1,275,260
"508","Pantanal","Carnivoro","EX",283.773693423572,15,7,340,271
"509","Amazônia","Onivoro","EX",293.580917346122,13,10,376,277
"510","Caatinga","Frugivoro","CE",292.354221564662,8,12,181,257
"511","Caatinga","Onivoro","CE",263.334264391873,82,4,378,237
"512","Pampa","Onivoro","LC",321.293455791167,38,7,439,293
"513","Cerrado","Frugivoro","EX",281.86743640405,28,12,217,218
"514","Caatinga","Onivoro","CE",299.797030329003,2,12,132,222
"515","Amazônia","Onivoro","EN",314.119120082912,12,11,470,215
"516","Cerrado","Frugivoro","EW",335.729584779139,71,7,350,253
"517","Caatinga","Carnivoro","EN",337.932801010149,93,19,334,238
"518","Amazônia","Frugivoro","EX",307.33503057879,21,5,347,209
"519","Pantanal","Onivoro","EW",296.573915513974,80,19,304,212
"520","Cerrado","Frugivoro","EW",309.134907013949,55,11,122,243
"521","Amazônia","Frugivoro","EW",264.957862219867,89,20,266,292
"522","Caatinga","Onivoro","EX",281.313215662402,90,7,359,252
"523","Mata Atlântica","Frugivoro","EN",293.157318547276,25,13,391,256
"524","Pantanal","Frugivoro","LC",266.857954857994,80,18,180,266
"525","Pampa","Frugivoro","VU",304.115077291286,86,10,376,215
"526","Mata Atlântica","Frugivoro","EN",327.318281850145,32,2,13,283
"527","Caatinga","Onivoro","CE",332.486130204006,19,2,482,215
"528","Amazônia","Onivoro","EX",285.566014282917,53,19,258,203
"529","Pantanal","Frugivoro","LC",318.517924273711,40,20,308,281
"530","Pantanal","Frugivoro","CE",300.820219220042,7,17,66,282
"531","Caatinga","Carnivoro","LC",344.476912852894,99,9,424,273
"532","Mata Atlântica","Onivoro","CE",331.340464566962,58,6,220,294
"533","Mata Atlântica","Frugivoro","CE",317.962563463206,81,7,26,223
"534","Pantanal","Frugivoro","EN",308.777055062933,10,15,39,265
"535","Caatinga","Onivoro","EW",260.914352013387,16,2,123,293
"536","Caatinga","Carnivoro","NT",272.758448203255,57,8,203,200
"537","Mata Atlântica","Onivoro","LC",316.517200978616,33,9,228,225
"538","Mata Atlântica","Frugivoro","NT",311.827319751647,23,6,280,280
"539","Caatinga","Onivoro","LC",315.788574765324,46,20,60,274
"540","Caatinga","Onivoro","CE",253.62994573126,13,13,123,234
"541","Pampa","Hematofago","NT",325.778123161545,62,4,100,239
"542","Caatinga","Onivoro","CE",326.787292329392,9,9,208,256
"543","Cerrado","Frugivoro","EN",307.709169796497,9,13,192,299
"544","Pantanal","Onivoro","CE",309.230658035719,42,7,258,254
"545","Caatinga","Onivoro","EX",285.996739892326,84,12,32,255
"546","Cerrado","Hematofago","EX",320.37897057545,36,15,230,236
"547","Pampa","Carnivoro","NT",283.833645495627,26,9,464,246
"548","Pantanal","Carnivoro","NT",303.908913488662,83,3,47,272
"549","Caatinga","Hematofago","NT",300.337919209621,72,7,258,268
"550","Amazônia","Frugivoro","LC",262.176355996034,5,13,96,261
"551","Caatinga","Carnivoro","EX",289.350725340238,22,15,29,255
"552","Pampa","Frugivoro","NT",291.531868969529,93,8,224,202
"553","Amazônia","Carnivoro","EX",310.348724534744,18,12,329,200
"554","Pampa","Onivoro","VU",335.100348662424,50,14,204,255
"555","Cerrado","Frugivoro","CE",272.593785383982,68,3,323,277
"556","Caatinga","Onivoro","EN",361.733593824333,67,13,209,217
"557","Pampa","Frugivoro","EN",297.633105741545,85,16,95,245
"558","Amazônia","Frugivoro","LC",281.322141206643,81,19,40,285
"559","Mata Atlântica","Hematofago","VU",301.975178857056,48,10,67,281
"560","Cerrado","Frugivoro","CE",327.463078812023,43,11,47,239
"561","Pampa","Frugivoro","VU",305.537497734326,97,18,81,209
"562","Pampa","Onivoro","LC",275.738563278361,40,2,272,262
"563","Pantanal","Onivoro","CE",267.467786073833,96,3,126,279
"564","Pampa","Onivoro","EN",304.229370576543,78,11,323,255
"565","Amazônia","Hematofago","VU",272.798407739095,57,14,278,288
"566","Amazônia","Onivoro","NT",309.7807147262,23,7,251,257
"567","Caatinga","Carnivoro","EN",283.809031232221,29,17,428,284
"568","Caatinga","Onivoro","LC",302.407885097211,37,12,109,273
"569","Amazônia","Onivoro","CE",309.03483241293,1,5,61,236
"570","Pampa","Frugivoro","EW",325.028148955206,70,3,320,276
"571","Cerrado","Carnivoro","EW",308.758059929113,70,4,230,224
"572","Mata Atlântica","Carnivoro","VU",293.449406544779,60,4,389,278
"573","Pampa","Onivoro","NT",301.929385142233,59,9,452,281
"574","Mata Atlântica","Onivoro","EW",323.006705861898,16,4,448,229
"575","Amazônia","Hematofago","EX",277.108809933312,24,4,298,222
"576","Amazônia","Onivoro","LC",286.673406519756,77,11,180,210
"577","Mata Atlântica","Onivoro","EN",312.638634924123,63,19,469,210
"578","Cerrado","Carnivoro","EN",311.644668536283,90,20,452,236
"579","Cerrado","Carnivoro","EX",323.110895946553,83,4,417,283
"580","Mata Atlântica","Frugivoro","EX",315.45513974478,18,16,176,220
"581","Mata Atlântica","Hematofago","EX",316.839105442921,23,19,105,213
"582","Pantanal","Onivoro","EX",239.593985541706,60,14,151,276
"583","Cerrado","Hematofago","NT",313.632049825243,88,7,457,208
"584","Cerrado","Frugivoro","EN",307.27482095945,69,9,226,220
"585","Pampa","Carnivoro","NT",284.783310023272,31,3,214,208
"586","Pantanal","Carnivoro","EW",282.924408927594,46,4,324,287
"587","Mata Atlântica","Frugivoro","LC",315.711969237566,95,12,482,211
"588","Caatinga","Carnivoro","LC",272.390924762261,98,2,265,209
"589","Cerrado","Frugivoro","LC",259.826368432051,100,1,283,279
"590","Cerrado","Onivoro","LC",307.514206953248,22,7,387,216
"591","Pantanal","Frugivoro","EX",315.540088195643,12,2,243,275
"592","Cerrado","Frugivoro","NT",263.854339303771,34,1,45,236
"593","Pantanal","Frugivoro","NT",347.042950780836,73,13,388,246
"594","Pampa","Carnivoro","LC",292.296880121718,73,2,305,299
"595","Amazônia","Carnivoro","CE",297.365659148115,56,19,118,253
"596","Caatinga","Frugivoro","CE",337.988084411682,54,15,475,203
"597","Mata Atlântica","Frugivoro","CE",310.440860315739,53,18,315,226
"598","Amazônia","Carnivoro","VU",295.239645161704,70,11,116,241
"599","Pantanal","Onivoro","EX",302.799712557447,37,14,384,243
"600","Pampa","Carnivoro","EX",287.82556317721,3,19,481,232
"601","Amazônia","Carnivoro","EX",304.194581330666,47,10,277,276
"602","Pantanal","Frugivoro","EN",276.247170219242,92,18,189,269
"603","Caatinga","Onivoro","CE",328.503406225562,92,20,141,298
"604","Pampa","Carnivoro","LC",250.278358153771,77,4,219,270
"605","Mata Atlântica","Frugivoro","EN",285.951527079671,27,18,325,204
"606","Mata Atlântica","Hematofago","VU",312.301976249823,29,20,352,225
"607","Pantanal","Frugivoro","NT",305.557224782543,44,15,169,238
"608","Mata Atlântica","Frugivoro","EX",250.565399804016,16,15,28,296
"609","Amazônia","Hematofago","EW",334.121453330596,93,18,393,224
"610","Caatinga","Hematofago","CE",322.721906537802,85,5,164,260
"611","Pampa","Frugivoro","EX",288.516947846365,23,19,138,255
"612","Mata Atlântica","Onivoro","CE",309.413801984598,18,7,491,276
"613","Amazônia","Carnivoro","NT",295.328013431966,26,8,332,230
"614","Pantanal","Onivoro","EW",277.91048937614,43,3,279,296
"615","Amazônia","Frugivoro","VU",299.460042747808,87,8,167,216
"616","Pampa","Frugivoro","CE",303.742911793734,75,7,177,203
"617","Amazônia","Onivoro","VU",323.441115763632,13,3,257,253
"618","Mata Atlântica","Onivoro","NT",302.749939677993,36,6,163,260
"619","Mata Atlântica","Onivoro","EN",295.172169390804,80,12,404,276
"620","Caatinga","Onivoro","LC",270.206011970806,47,10,8,284
"621","Pampa","Onivoro","CE",302.972391041582,41,14,35,219
"622","Pantanal","Onivoro","CE",323.046619233623,44,9,96,292
"623","Cerrado","Carnivoro","NT",302.341616379456,33,3,124,249
"624","Pantanal","Onivoro","CE",313.441347264588,31,17,407,286
"625","Mata Atlântica","Onivoro","LC",334.983913580988,55,6,263,259
"626","Caatinga","Onivoro","EX",297.586080344458,42,8,124,280
"627","Pampa","Carnivoro","EN",305.849264703077,8,7,253,210
"628","Pampa","Onivoro","VU",320.088824325335,55,6,297,208
"629","Mata Atlântica","Onivoro","VU",319.142320989138,93,11,8,247
"630","Mata Atlântica","Frugivoro","CE",325.899174328433,36,15,258,292
"631","Caatinga","Hematofago","EX",303.829476168708,39,20,349,255
"632","Cerrado","Onivoro","VU",319.64430996969,19,9,362,201
"633","Mata Atlântica","Frugivoro","LC",321.781194117722,2,9,131,230
"634","Cerrado","Frugivoro","EW",280.013831364026,12,3,383,271
"635","Pantanal","Onivoro","EX",319.759899931466,40,16,231,214
"636","Mata Atlântica","Onivoro","EX",274.136584361746,88,7,301,256
"637","Amazônia","Frugivoro","LC",314.854461944099,12,9,307,287
"638","Mata Atlântica","Onivoro","NT",295.373070999873,83,12,110,280
"639","Mata Atlântica","Hematofago","NT",300.171803837267,5,13,185,284
"640","Amazônia","Onivoro","EN",300.541606399727,5,4,266,295
"641","Cerrado","Onivoro","EW",291.538818492453,31,3,264,290
"642","Pampa","Onivoro","EW",308.752173936472,95,5,244,299
"643","Amazônia","Carnivoro","NT",295.719969604928,57,13,360,245
"644","Pampa","Carnivoro","LC",331.913094746787,55,9,99,205
"645","Cerrado","Frugivoro","EW",309.653951420245,91,6,103,258
"646","Pampa","Carnivoro","LC",324.634703178795,23,9,399,215
"647","Mata Atlântica","Carnivoro","NT",280.918832221323,26,16,131,283
"648","Pampa","Onivoro","CE",256.165582115555,4,10,132,202
"649","Mata Atlântica","Frugivoro","EW",297.766562623751,49,19,46,287
"650","Caatinga","Frugivoro","VU",288.018618397016,79,18,315,202
"651","Caatinga","Frugivoro","EN",321.379559557558,98,6,409,241
"652","Cerrado","Frugivoro","LC",303.162483275621,24,12,326,215
"653","Cerrado","Onivoro","EW",283.103840384282,22,2,133,298
"654","Mata Atlântica","Onivoro","CE",278.319802847503,53,8,5,286
"655","Cerrado","Carnivoro","CE",316.24031511797,38,2,153,276
"656","Amazônia","Frugivoro","LC",267.944664044967,67,16,241,284
"657","Mata Atlântica","Hematofago","EW",294.045896495427,12,14,266,292
"658","Amazônia","Frugivoro","EN",280.046580673406,78,17,4,200
"659","Caatinga","Frugivoro","EW",325.040206500582,34,9,211,270
"660","Caatinga","Frugivoro","CE",273.347120817016,89,11,120,281
"661","Cerrado","Onivoro","EX",288.889680253353,6,2,306,257
"662","Mata Atlântica","Frugivoro","LC",314.182604242462,67,17,182,228
"663","Caatinga","Onivoro","CE",303.748278328229,80,16,391,261
"664","Mata Atlântica","Onivoro","CE",278.179580903942,29,12,441,258
"665","Pampa","Carnivoro","LC",319.927744952477,65,7,93,217
"666","Mata Atlântica","Frugivoro","LC",283.239104231292,64,20,117,227
"667","Caatinga","Onivoro","LC",314.230887162101,70,5,130,230
"668","Amazônia","Hematofago","CE",261.209148640183,71,14,291,276
"669","Caatinga","Hematofago","CE",310.092996176948,73,11,176,229
"670","Cerrado","Carnivoro","NT",320.674107140632,79,6,374,289
"671","Caatinga","Onivoro","EN",316.0555541185,100,7,204,233
"672","Caatinga","Carnivoro","NT",310.564718851129,2,12,187,299
"673","Mata Atlântica","Onivoro","CE",293.486530890794,38,16,476,215
"674","Caatinga","Onivoro","VU",292.263914994908,54,20,154,266
"675","Caatinga","Hematofago","NT",325.052636873951,68,6,87,262
"676","Cerrado","Onivoro","LC",323.33527543409,94,14,302,247
"677","Mata Atlântica","Frugivoro","NT",301.38386564836,62,15,6,200
"678","Caatinga","Carnivoro","NT",336.498434447046,24,7,469,266
"679","Pantanal","Onivoro","VU",321.612962760624,12,15,440,253
"680","Pampa","Carnivoro","EN",266.136919810163,20,15,481,217
"681","Caatinga","Onivoro","LC",306.381870752612,69,8,19,298
"682","Mata Atlântica","Onivoro","LC",304.905948264607,65,13,24,227
"683","Caatinga","Onivoro","EX",291.565487219666,20,15,147,283
"684","Pantanal","Frugivoro","LC",329.335737487924,38,13,95,264
"685","Pantanal","Onivoro","NT",281.416524715748,17,13,246,224
"686","Pantanal","Onivoro","EN",289.583089713109,94,8,410,287
"687","Cerrado","Onivoro","EW",305.47677054983,18,2,473,284
"688","Mata Atlântica","Onivoro","NT",321.634526267128,29,17,128,231
"689","Cerrado","Onivoro","LC",277.618354132207,41,6,418,247
"690","Cerrado","Frugivoro","EW",317.065380812196,21,16,54,229
"691","Cerrado","Onivoro","VU",293.554659000731,99,6,272,237
"692","Cerrado","Frugivoro","EX",290.821004879602,55,11,451,273
"693","Pantanal","Carnivoro","EW",316.824351138476,83,1,271,248
"694","Mata Atlântica","Frugivoro","NT",319.000105884395,49,10,267,200
"695","Cerrado","Frugivoro","LC",300.799682895116,13,8,156,219
"696","Caatinga","Onivoro","EN",290.148766253839,17,12,289,217
"697","Mata Atlântica","Onivoro","EX",287.252450666728,99,2,356,206
"698","Pantanal","Onivoro","CE",305.643033341095,72,18,340,232
"699","Caatinga","Frugivoro","NT",303.63830312393,94,6,456,263
"700","Pampa","Carnivoro","NT",310.698062760021,26,12,163,242
"701","Pampa","Onivoro","EX",265.718588222401,16,1,432,206
"702","Pantanal","Frugivoro","VU",284.37146944583,98,5,50,243
"703","Pantanal","Hematofago","EN",303.41361008273,61,19,119,243
"704","Amazônia","Frugivoro","EN",332.503972029471,42,4,250,234
"705","Cerrado","Onivoro","NT",307.042022320029,14,20,230,292
"706","Pantanal","Carnivoro","CE",290.258238698085,46,5,417,277
"707","Pantanal","Frugivoro","EN",315.717270399077,61,8,86,292
"708","Cerrado","Frugivoro","CE",288.273729901223,4,12,174,246
"709","Pampa","Onivoro","CE",277.763377154385,90,17,320,262
"710","Pampa","Onivoro","LC",307.097354338696,15,3,284,216
"711","Pantanal","Onivoro","EX",324.014376064672,49,16,99,225
"712","Mata Atlântica","Frugivoro","NT",314.926838237684,85,19,66,267
"713","Caatinga","Onivoro","NT",324.048022836056,60,13,271,268
"714","Caatinga","Onivoro","EN",303.924569058253,9,9,307,245
"715","Cerrado","Carnivoro","CE",305.488984364191,94,15,230,243
"716","Pampa","Carnivoro","EW",339.106252337758,88,11,500,272
"717","Pantanal","Onivoro","EN",324.341495580108,66,18,38,203
"718","Pampa","Hematofago","NT",302.001477734401,46,10,441,295
"719","Amazônia","Onivoro","NT",276.266210171418,89,2,60,201
"720","Caatinga","Frugivoro","VU",282.276232309379,8,14,157,209
"721","Mata Atlântica","Onivoro","VU",297.136353141608,6,6,54,255
"722","Pantanal","Frugivoro","EN",326.42901949429,1,12,327,242
"723","Cerrado","Onivoro","CE",310.52815075773,9,20,451,235
"724","Pampa","Onivoro","CE",262.849634502513,21,13,19,247
"725","Pantanal","Frugivoro","CE",282.004487311334,27,19,75,238
"726","Mata Atlântica","Frugivoro","LC",291.815170573036,54,13,168,258
"727","Cerrado","Frugivoro","EW",333.933816400321,97,6,361,223
"728","Pantanal","Carnivoro","EX",309.860797778712,75,10,401,206
"729","Mata Atlântica","Frugivoro","LC",275.450597537923,59,8,298,276
"730","Mata Atlântica","Onivoro","NT",288.670790675126,33,10,121,217
"731","Pampa","Frugivoro","EW",326.787693412914,6,14,484,221
"732","Caatinga","Onivoro","NT",298.487423126725,19,9,487,216
"733","Mata Atlântica","Onivoro","EX",279.435186914877,71,14,379,297
"734","Caatinga","Onivoro","EW",283.76014888322,61,8,255,225
"735","Mata Atlântica","Onivoro","CE",319.916631920523,91,12,447,249
"736","Pantanal","Onivoro","CE",271.974174658856,30,15,249,256
"737","Mata Atlântica","Frugivoro","CE",345.571474412725,69,4,494,271
"738","Caatinga","Onivoro","EW",307.331758845913,62,19,144,259
"739","Mata Atlântica","Carnivoro","EN",267.369527419295,41,3,221,288
"740","Amazônia","Onivoro","VU",300.477436018214,86,1,473,266
"741","Pampa","Carnivoro","VU",279.428581793626,16,12,65,202
"742","Mata Atlântica","Hematofago","EX",302.709475261093,40,11,5,244
"743","Amazônia","Hematofago","CE",282.001737353623,78,4,11,247
"744","Amazônia","Hematofago","EW",299.913415282968,5,13,216,240
"745","Cerrado","Carnivoro","EX",323.361363090725,90,6,120,282
"746","Amazônia","Carnivoro","EX",299.410630974568,89,11,346,255
"747","Caatinga","Onivoro","VU",292.398685297038,43,17,84,247
"748","Caatinga","Onivoro","CE",331.953804919073,72,14,190,245
"749","Pampa","Frugivoro","LC",302.894312747979,82,1,440,206
"750","Pantanal","Frugivoro","EW",276.219229185559,19,4,262,244
"751","Amazônia","Carnivoro","LC",283.420485448816,33,11,41,214
"752","Pampa","Onivoro","EN",321.794691657566,88,19,286,200
"753","Amazônia","Hematofago","EN",323.716579867812,75,15,117,236
"754","Pampa","Frugivoro","EN",308.153887663418,7,17,313,241
"755","Amazônia","Onivoro","LC",336.511555747035,24,8,60,287
"756","Pampa","Frugivoro","NT",313.884623283051,90,14,63,235
"757","Mata Atlântica","Onivoro","CE",239.944374997723,39,16,140,237
"758","Cerrado","Frugivoro","EW",296.225873915578,13,4,141,273
"759","Mata Atlântica","Frugivoro","EX",300.366672568569,100,10,393,231
"760","Pampa","Carnivoro","NT",315.76388006091,80,5,223,234
"761","Caatinga","Onivoro","NT",297.712579637714,85,7,311,241
"762","Caatinga","Frugivoro","NT",289.940252641348,99,3,403,269
"763","Mata Atlântica","Carnivoro","LC",279.848590806473,62,18,215,278
"764","Pantanal","Onivoro","NT",303.022715757141,35,3,327,252
"765","Pantanal","Onivoro","NT",327.174252753183,68,1,170,257
"766","Pantanal","Frugivoro","EN",258.346443138534,69,13,351,230
"767","Mata Atlântica","Hematofago","LC",280.251557479088,40,13,255,263
"768","Cerrado","Hematofago","VU",279.915618308751,96,20,33,225
"769","Amazônia","Carnivoro","NT",350.467685101565,75,20,480,276
"770","Cerrado","Carnivoro","CE",267.001621077546,35,16,307,223
"771","Caatinga","Hematofago","EX",250.941648953206,44,13,366,256
"772","Caatinga","Carnivoro","EW",314.363999347601,73,13,19,279
"773","Mata Atlântica","Hematofago","EX",301.609473334661,100,12,120,215
"774","Caatinga","Frugivoro","CE",293.060155684014,33,8,184,267
"775","Pantanal","Carnivoro","CE",283.153000357165,33,10,320,276
"776","Pampa","Frugivoro","CE",310.396313246145,86,15,158,252
"777","Pampa","Frugivoro","EX",287.406864667926,33,7,309,256
"778","Caatinga","Frugivoro","EN",294.474069128952,34,17,17,205
"779","Cerrado","Hematofago","EX",286.500089610895,49,17,494,296
"780","Pantanal","Onivoro","EN",278.373415527669,29,5,26,259
"781","Pantanal","Carnivoro","VU",285.310300043576,46,12,168,248
"782","Pantanal","Carnivoro","VU",332.946195011007,54,13,94,218
"783","Pantanal","Onivoro","NT",329.554206450223,21,5,81,259
"784","Cerrado","Onivoro","CE",310.508429518438,24,6,405,239
"785","Mata Atlântica","Frugivoro","EN",299.575483950513,13,19,308,223
"786","Pampa","Frugivoro","CE",328.681771700606,68,4,443,239
"787","Caatinga","Onivoro","CE",315.750790680291,33,20,38,200
"788","Amazônia","Frugivoro","EW",290.290046717127,38,1,290,202
"789","Caatinga","Frugivoro","LC",281.153737617301,87,16,42,226
"790","Pampa","Frugivoro","CE",293.541450503959,72,12,294,250
"791","Cerrado","Frugivoro","VU",278.760536428642,12,12,380,267
"792","Pampa","Onivoro","EW",278.142166361762,79,11,122,223
"793","Amazônia","Frugivoro","EN",313.315943245633,66,10,112,253
"794","Amazônia","Hematofago","EW",296.882306898668,46,9,176,243
"795","Cerrado","Onivoro","EX",262.474372684319,80,8,345,226
"796","Caatinga","Onivoro","EN",308.460825721766,100,11,389,270
"797","Mata Atlântica","Onivoro","EN",322.399763020856,79,1,460,269
"798","Cerrado","Onivoro","VU",268.71313744349,77,20,114,207
"799","Pampa","Hematofago","EN",337.817747610395,80,12,248,231
"800","Pampa","Onivoro","LC",321.21209638495,39,10,314,202
"801","Mata Atlântica","Frugivoro","NT",300.893627952291,12,6,171,295
"802","Pampa","Onivoro","CE",306.745848115521,43,1,234,241
"803","Cerrado","Frugivoro","EN",301.353127160069,65,15,371,237
"804","Pampa","Onivoro","NT",293.680567242659,34,1,353,282
"805","Pantanal","Onivoro","VU",295.750899213918,1,2,212,225
"806","Cerrado","Onivoro","EX",305.403624845454,55,1,213,280
"807","Caatinga","Onivoro","EX",314.093290091014,7,2,425,260
"808","Cerrado","Onivoro","CE",289.535911658916,18,11,68,292
"809","Caatinga","Frugivoro","EN",298.898408909424,39,13,412,244
"810","Caatinga","Onivoro","EW",312.579771239519,81,2,139,220
"811","Cerrado","Onivoro","EN",314.042530739485,56,14,227,208
"812","Amazônia","Onivoro","LC",284.088201637763,26,12,369,261
"813","Caatinga","Onivoro","NT",276.955883375564,100,5,230,202
"814","Mata Atlântica","Onivoro","EW",279.81425014173,13,11,81,208
"815","Amazônia","Carnivoro","EW",295.921693491929,8,6,113,262
"816","Pantanal","Hematofago","NT",298.558986850134,27,1,405,289
"817","Pantanal","Onivoro","LC",274.551041280912,67,20,114,280
"818","Amazônia","Hematofago","LC",280.239496495555,36,3,147,281
"819","Cerrado","Onivoro","EX",280.629256732327,42,1,499,246
"820","Caatinga","Onivoro","VU",294.124774339617,94,9,159,217
"821","Pantanal","Onivoro","EW",263.363543625998,42,6,301,236
"822","Cerrado","Frugivoro","EX",277.016727476977,23,13,175,295
"823","Mata Atlântica","Onivoro","EN",263.022491503845,47,18,60,212
